"Collection Name","Title#1","Title#1$1","Title#1$4","Title#1$5","Title#1$2","Title#1$3","Title#1$6","Uniform Title#1","Other Title#1","Other Title#1$4","Other Title#1$5","Other Title#1$2","Other Title#1$3","Other Title#1$1","Other Title#1$8","Other Title#1$6","Other Title#1$7","Series Title#1","Composer#1","Composer#1$1","Composer#1$2","Lyricist#1","Arranger#1","Arranger#1$2","Arranger#1$1","Contributor#1","Contributor#1$1","Contributor#1$2","Contributor#1$5","Contributor#1$6","Contributor#1$3","Contributor#1$4","Type of Resource#1","Place Term#1","Place Term#1$1","Place Term#1$2","Publisher#1","Publisher#1$1","Publisher#1$2","Date Issued#1","Edition#1","Language Term#1","Language Term Code#1","Language Term Code Authority#1","Language Term Type#1","Form#1$1","Form#1$2","Form#1","Form Authority#1","Form Authority#1$1","Form Authority#1$2","Internet Media Type#1","Extent#1","Extent#1$6","Extent#1$4","Extent#1$5","Extent#1$2","Extent#1$3","Extent#1$1","Digital Origin#1","Note#1","Subject Topic#1","Subject Topic#1$3","Subject Topic#1$2","Subject Topic#1$1","Subject Geographic#1","Subject Name#1","Plate Number#1","Plate Number#1$1","Plate Number#1$2","Plate Number#1$5","Plate Number#1$6","Plate Number#1$3","Plate Number#1$4","Plate Number#1$9","Plate Number#1$7","Plate Number#1$8","Plate Number#1$10","Plate Number#1$11","Plate Number#1$12","Publisher Number#1","Identifier#1$5","Identifier#1$6","Identifier#1$7","Identifier#1$8","Identifier#1$9","Identifier#1$1","Identifier#1$2","Identifier#1$3","Identifier#1$4","Identifier#1","Identifier URI#1","Bib Number#1","Shelf Identifier#1","Physical Location#1","Rights#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Ricardo Viñes Piano Music","Marche funèbre de ""Davel""","","","","","","","Davel. Marche funèbre; arranged","Davel","","","","","","","","","","Doret, Gustave, 1866-1943","","","","","","","Blanchet, E. R. (Emile Robert), 1877-1943","","","","","","","notated music","Lausanne","","","FŒtisch","","","©1924","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","7 pages of music","","","","","","","reformatted digital","""Adaptée au piano pour le concert par E.R. Blanchet.""","","","Operas--Excerpts, Arranged","Piano music, Arranged","","","F. 6025 F. FŒtisch","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001057979.pdf","Catalog record: http://libraries.colorado.edu/record=b2688805~S3","b26888051","M25.B555 M3","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3247","4623","musc_vines_U183001057979.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3247~148722"
"Ricardo Viñes Piano Music","Marche funèbre: pour piano","","","","","","","Marche funèbre; arranged","","","","","","","","","","","Castillo, David del","","","","","","","","","","","","","","notated music","Paris","","","Rosemberg","","","[between 1900 and 1999]","","","","","","","","printed materials (object genre)","AAT","","","application/pdf","5 pages of music","","","","","","","reformatted digital","""Arrangé sur la Marche Funèbre pour guitare du méme auteur.""","Marches (Piano), Arranged","","","","","","","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183007251945.pdf","Catalog record: http://libraries.colorado.edu/record=b3466935~S3","b34669358","M28.C37 M3","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3468","4623","musc_vines_U183007251945.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3468~188515"
"Ricardo Viñes Piano Music","Marche militaire française: final de la Suite algérienne, op. 60","","","","","","","Suite algérienne. March militaire française; arranged","","","","","","","","","","","Saint-Saëns, Camille, 1835-1921","","","","","","","","","","","","","","notated music","Paris","","","Durand","","","©1907","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","9 pages of music","","","","","","","reformatted digital","""Transcription pour piano seul par l'auteur."" Originally for orchestra.","","Suites (Piano), Arranged","Piano music, Arranged","Marches","","","D. & F. 6963 Durand","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001444273.pdf","Catalog record: http://libraries.colorado.edu/record=b3712026~S3","b37120268","M35 .S33 op. 60","Special Collections, Archives & Preservation, University of Colorado Boulder","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3589","4623","musc_vines_U183001444273.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3589~148241"
"Ricardo Viñes Piano Music","Marche: pour le piano","","","","","","","March, piano","","","","","","","","","","","Lourié, Arthur, 1892-1966","","","","","","","","","","","","","","notated music","Paris","","","Rouart, Lerolle & Cie","","","1928?","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","1 preliminary leaf, 5 pages of music","","","","","","","reformatted digital","","","","Marches (Piano)","Piano music","","","R.L.11621 & Cie. Rouart, Lerolle & Cie","","","","","","","","","","","","","","","","","","","","","","","musc_vines_marcheLourie.pdf","Catalog record: http://libraries.colorado.edu/record=b2441269~S3","b24412697","M28.L68 M3","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","2979","4623","musc_vines_marcheLourie.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~2979~148412"
"Ricardo Viñes Piano Music","Matin d'été","","","","","","","","","","","","","","","","","","Gauthiez, Cécile, 1873-","","","","","","","","","","","","","","notated music","Paris","","","B. Roudanez","","","©1923","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","11 pages of music","","","","","","","reformatted digital","Caption title.","Piano music","","","","","","B.509 R. B. Roudanez","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183002060933.pdf","Catalog record: http://libraries.colorado.edu/record=b2671306~S3","b26713068","M25.G388 M3","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3134","4623","musc_vines_U183002060933.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3134~148093"
"Ricardo Viñes Piano Music","Matines, sarabandes et gaillardes pour piano","","","","","","","Matines,Q111 sarabandes et gaillardes, piano","","","","","","","","","","","Dubosoq, Claude","","","","","","","","","","","","","","notated music","Paris","","","Senart","","","©1923","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","32 pages of music","","","","","","","reformatted digital","","","","Dance music","Piano music","","","E. M. S. 6097 Senart","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001059971.pdf","Catalog record: http://libraries.colorado.edu/record=b2144525~S3","b21445254","M25.D77 M3","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","2871","4623","musc_vines_U183001059971.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~2871~148674"
"Ricardo Viñes Piano Music","Mazurka","","","","","","","Pieces, piano, op. 11. Mazurka v doriĭskom lade","","","","","","","","","","","Lyadov, Anatoly Konstantinovich, 1855-1914","","","","","","","","","","","","","","notated music","Paris","","","A. Leduc","","","[between 1900 and 1999?]","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","5 pages of music","","","","","","","reformatted digital","For piano. ""Op. 11, [no.] 2""--Page 1. Caption title.","Mazurkas","","","","","","A.L. 9196 A. Leduc","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001442970.pdf","Catalog record: http://libraries.colorado.edu/record=b3711937~S3","b37119370","M32 .L53 op.11, v.2","Special Collections, Archives & Preservation, University of Colorado Boulder","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3587","4623","musc_vines_U183001442970.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3587~148255"
"Ricardo Viñes Piano Music","Mazurka pour le piano, op. 5","","","","","","","Mazurkas, piano, op. 5","","","","","","","","","","","Karpov, Mikhail Pavlovich","","","","","","","","","","","","","","notated music","Leipzig","","","Zimmermann","","","©1908","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","11 pages of music","","","","","","","reformatted digital","","","","Mazurkas","Piano music","","","Z.4632 Zimmermann","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001443552.pdf","Catalog record: http://libraries.colorado.edu/record=b2506387~S3","b2506387x","M32 .K37 op.5","Special Collections, Archives & Preservation, University of Colorado Boulder","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3013","4623","musc_vines_U183001443552.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3013~188497"
"Ricardo Viñes Piano Music","Mazurka: [de] Trois morceaux, no. 2, op. 10","","","","","","","Pieces, piano, op. 10. No. 2. Mazurka","","","","","","","","","","","Lyadov, Anatoly Konstantinovich, 1855-1914","","","","","","","","","","","","","","notated music","Paris","","","Alphonse Leduc","","","[1906?]","","","","","","","","printed materials (object genre)","AAT","","","application/pdf","5 pages of music","","","","","","","reformatted digital","For piano. Caption title.","","","Mazurkas","Piano music","","","A.L.13,521 Alphonse Leduc","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001443609.pdf","Catalog record: http://libraries.colorado.edu/record=b3472041~S3","b34720418","M32 .L52 op.10 no.2","Special Collections, Archives & Preservation, University of Colorado Boulder","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3498","4623","musc_vines_U183001443609.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3498~188493"
"Ricardo Viñes Piano Music","Menuet: extrait de la petite suite","","","","","","","Petite suite. Menuet; arranged","Petite suite","","","","","","","","","","Debussy, Claude, 1862-1918","","","","","","","Durand, Jacques, 1865-1928","","","","","","","notated music","Paris","","","A. Durand","","","©1906","","No linguistic content","zxx","iso639-2b","text","","","printed materials (object genre)","AAT","","","application/pdf","5 pages of music","","","","","","","reformatted digital","[Transcription á 2 mains par Jacques Durand.] Originally for piano, 4 hands. Cover title.","Suites (Piano)--Excerpts, Arranged","","","","","","","","","","","","","","","","","","","","","","","","","","","","","musc_vines_U183001444760.pdf","Catalog record: http://libraries.colorado.edu/record=b2505535~S3","b25055355","M38.D42 P43","Special Collections, Archives & Preservation, University of Colorado Boulder","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","3001","4623","musc_vines_U183001444760.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~6~6~3001~148221"
